Символ,Ошибка_TED
0,0.000000
1,-1.072884
2,0.000000
3,1.072884
4,0.000000
5,0.000000
6,0.000000
7,-1.072884
8,1.072884
9,0.000000
10,0.000000
11,-1.072884
12,0.000000
13,1.072884
14,1.072884
15,0.000000
16,0.000000
17,0.000000
18,0.000000
19,1.072884
20,0.000000
21,-1.072884
22,0.000000
23,1.072884
24,0.000000
25,0.000000
26,0.000000
27,-1.072884
28,0.000000
29,1.072884
30,0.000000
31,-1.072884
32,0.000000
33,1.072884
34,1.072884
35,0.000000
36,-1.072884
37,0.000000
38,0.000000
39,0.000000
40,0.000000
41,-1.072884
42,0.000000
43,0.000000
44,0.000000
45,0.000000
46,-1.072884
47,-1.072884
48,1.072884
49,0.000000
50,0.000000
51,-1.072884
52,0.000000
53,1.072884
54,0.000000
55,0.000000
56,0.000000
57,0.000000
58,1.072884
59,1.072884
60,0.000000
61,-1.072884
62,0.000000
63,1.072884
64,1.072884
65,0.000000
66,0.000000
67,0.000000
68,1.072884
69,0.000000
70,0.000000
71,0.000000
72,0.000000
73,0.000000
74,1.072884
75,0.000000
76,-1.072884
77,-1.072884
